Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
types/String/Length/ascii/String,2.935418936009028e-7,2.893913183295209e-7,2.978430653684569e-7,1.451648315073313e-8,1.2379947698652631e-8,1.7238097709557607e-8
types/String/Length/ascii/Text,3.2684415978786254e-7,3.2208464274830373e-7,3.321671711101351e-7,1.639195805503066e-8,1.3399451505452847e-8,2.120293500003807e-8
types/String/Length/mascii/String,6.108047761130559e-7,6.006100239987254e-7,6.238736930357326e-7,3.639279175452531e-8,2.9483906801213353e-8,5.167642711686568e-8
types/String/Length/mascii/Text,5.692280847227383e-7,5.601876944410469e-7,5.817335043254752e-7,3.5600707504390834e-8,2.710238427870533e-8,4.834329181698923e-8
types/String/Length/uni1/String,3.6231435288039125e-7,3.5585278736871005e-7,3.6960891400045683e-7,2.3467861896143882e-8,1.9341205773115254e-8,2.9735336624384443e-8
types/String/Length/uni1/Text,2.3510256208669595e-7,2.3120193152841647e-7,2.3935370086674257e-7,1.3942126664206238e-8,1.1827631180038613e-8,1.7397084261843064e-8
types/String/Length/uni2/String,2.8572845391630876e-7,2.805164731183309e-7,2.919953830559123e-7,2.024809462903563e-8,1.6983382123156268e-8,2.4480223595037714e-8
types/String/Length/uni2/Text,2.470641705356577e-7,2.4366714191725755e-7,2.510632280136482e-7,1.242322513584178e-8,1.095778480270966e-8,1.5320932249349285e-8
types/String/Elem/ascii/String,2.548639489614401e-8,2.511793374622154e-8,2.5907999799112564e-8,1.3360768934794527e-9,1.1137372670713738e-9,1.7138849753828908e-9
types/String/Elem/ascii/Text,1.0973473880879572e-7,1.0816627076263669e-7,1.1171233201736358e-7,5.927966424372723e-9,4.75799449098206e-9,7.460643105251542e-9
types/String/Elem/mascii/String,2.2343030116442433e-8,2.2043258350856952e-8,2.2652421067192846e-8,1.0409828025815723e-9,9.084394948328195e-10,1.242298716790786e-9
types/String/Elem/mascii/Text,7.07211472127624e-8,6.961024967102063e-8,7.196049634972502e-8,3.813544501995503e-9,3.1095507215683524e-9,5.721653994889402e-9
types/String/Elem/uni1/String,6.216500209553846e-7,6.116820774112425e-7,6.34547346856455e-7,3.9093830899871205e-8,2.9415643395731922e-8,6.072422953956542e-8
types/String/Elem/uni1/Text,1.554936524159045e-6,1.528805215053377e-6,1.5870295429197779e-6,9.603965655863252e-8,7.961049061844659e-8,1.260407476597891e-7
types/String/Elem/uni2/String,4.6781853804293653e-7,4.611452220604223e-7,4.757490206378417e-7,2.521640591695504e-8,2.0110718630705656e-8,3.4001643234440625e-8
types/String/Elem/uni2/Text,1.3163616786562292e-6,1.298402710212534e-6,1.3405019377795088e-6,6.518866826841666e-8,5.316877217446852e-8,9.627690452522205e-8
types/String/Take/ascii-10/String,2.307922093664694e-8,2.2717391213482997e-8,2.3467834876922628e-8,1.2588797851022607e-9,1.048416588887333e-9,1.586400601084184e-9
types/String/Take/ascii-10/Text,2.571610035385777e-8,2.5409008230861115e-8,2.6123132666082193e-8,1.1720749324374857e-9,9.542894187531955e-10,1.466430117445296e-9
types/String/Take/mascii-10/String,2.44839935613865e-8,2.4123589041561435e-8,2.494403157119505e-8,1.3684347530485535e-9,1.135743175419771e-9,1.8613590765811268e-9
types/String/Take/mascii-10/Text,2.546556846353199e-8,2.516327459271458e-8,2.5822067090716335e-8,1.1895005306854124e-9,1.0226517260430914e-9,1.420544654966846e-9
types/String/Take/uni1-10/String,2.6802548651222736e-8,2.644567021010502e-8,2.7322540564039886e-8,1.375001630806015e-9,1.0300438858238644e-9,2.115180649761537e-9
types/String/Take/uni1-10/Text,2.5571367688760995e-8,2.5146230187736425e-8,2.610840654007482e-8,1.5910805843161783e-9,1.1947666568589237e-9,2.3177695630037662e-9
types/String/Take/uni2-10/String,2.7602788235474568e-8,2.7175397197154308e-8,2.824563117604579e-8,1.8884664679528665e-9,1.417669527454006e-9,2.7980885467772474e-9
types/String/Take/uni2-10/Text,2.5444466249395622e-8,2.5098043338863572e-8,2.5972429949650132e-8,1.4287291780722847e-9,1.169898609161801e-9,1.7985660681815309e-9
types/String/Take/ascii-100/String,1.0632820377990832e-7,1.0446400825254273e-7,1.0882860103801511e-7,7.543591202009551e-9,6.211972000684969e-9,9.364110678082527e-9
types/String/Take/ascii-100/Text,1.0806039875153102e-7,1.0580042181889344e-7,1.1010919128473509e-7,7.28401641709911e-9,6.257488972391578e-9,8.55384682149148e-9
types/String/Take/mascii-100/String,9.526079131410376e-8,9.37237842824633e-8,9.761089466679412e-8,6.298773480391232e-9,4.712323528267133e-9,9.403344291500653e-9
types/String/Take/mascii-100/Text,1.0715039941795555e-7,1.0552406461688338e-7,1.0887905783436909e-7,5.933880841048129e-9,5.140122349129473e-9,7.187509798918566e-9
types/String/Take/uni1-100/String,1.5177901573931426e-7,1.4915290419431985e-7,1.5492127828772607e-7,9.576265321678724e-9,7.853078161698574e-9,1.224610103414967e-8
types/String/Take/uni1-100/Text,1.0623085860993558e-7,1.0446458399896713e-7,1.0891420956716397e-7,7.266782037761066e-9,5.338104523865334e-9,1.081821078836684e-8
types/String/Take/uni2-100/String,1.4432959694071856e-7,1.4189114088440043e-7,1.4714410065036026e-7,8.8404187512824e-9,7.2964991476932455e-9,1.126447914846852e-8
types/String/Take/uni2-100/Text,1.546510435706005e-7,1.522588063534146e-7,1.5737405364132292e-7,8.978531195205368e-9,7.707100908533777e-9,1.1111457575187397e-8
types/String/Take/ascii-800/String,1.2126265176958701e-8,1.1939199975257279e-8,1.2377133551359457e-8,7.32497001392044e-10,5.755792434876569e-10,1.0494347071429341e-9
types/String/Take/ascii-800/Text,1.094941812943144e-8,1.0807543685086733e-8,1.1120943773482295e-8,5.178669431468949e-10,4.2943183389964045e-10,6.21886178131773e-10
types/String/Take/mascii-800/String,6.913186950626636e-7,6.825030846017909e-7,7.041604826313537e-7,3.7038976538092394e-8,3.1376748729767174e-8,4.608186094468531e-8
types/String/Take/mascii-800/Text,6.679633707642537e-7,6.569139511375358e-7,6.817822693053144e-7,3.931001267074693e-8,3.1596960374566395e-8,4.9691514754181655e-8
types/String/Take/uni1-800/String,4.0749663204752535e-7,4.0072553517354844e-7,4.1571203423434053e-7,2.7521506440829094e-8,2.3010414757920993e-8,3.3312934643735624e-8
types/String/Take/uni1-800/Text,1.1141104850051993e-8,1.0945015253435847e-8,1.1354297607016087e-8,6.876864898957986e-10,5.86501165881299e-10,7.944566933296998e-10
