Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
break/#english-start/foundation,1.7816088893496646e-8,1.7517118731486707e-8,1.8203202343642937e-8,1.088646806825794e-9,8.295668489666001e-10,1.4832779464397336e-9
break/#english-start/text,1.558443391161406e-8,1.5280338914574564e-8,1.5967614292718417e-8,1.0796628402423461e-9,8.615898176966498e-10,1.4407514446248349e-9
break/#english-middle/foundation,1.0070967324187893e-7,9.967950365972753e-8,1.0203711477494197e-7,4.1096531414062365e-9,3.1472492148431667e-9,6.516263950499593e-9
break/#english-middle/text,1.0246005913190719e-7,1.0066545875114874e-7,1.046527416255878e-7,6.491550331512747e-9,5.503890512668315e-9,7.73304685127724e-9
break/#english-notfound/foundation,3.716185098690891e-7,3.648284183871835e-7,3.787737759088808e-7,2.3210478662178208e-8,1.9076770370635005e-8,2.8427031362456585e-8
break/#english-notfound/text,3.662005542216156e-7,3.5982098747508785e-7,3.712282952176128e-7,1.919496633755694e-8,1.5492566829631048e-8,2.3936076856184004e-8
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
break/#english-start/foundation,1.7567749656096976e-8,1.7240222548341604e-8,1.793302240598048e-8,1.173375050821077e-9,9.550446820454808e-10,1.5264744570248642e-9
break/#english-start/text,1.5093358293753627e-8,1.4830285984445128e-8,1.536736856283697e-8,9.265917201567863e-10,7.154967525841647e-10,1.3191490981975026e-9
break/#english-middle/foundation,1.0139345745219836e-7,9.979731973973902e-8,1.037064273540266e-7,6.069261460071758e-9,4.563944410451635e-9,8.555699617398135e-9
break/#english-middle/text,1.0361744942090712e-7,1.0175512808980937e-7,1.0581554805252696e-7,6.564347319832664e-9,5.60464408848108e-9,8.685776374146833e-9
break/#english-notfound/foundation,3.7114927905578105e-7,3.668296505138393e-7,3.785071938844535e-7,1.877967600503211e-8,1.4431749938123991e-8,2.4540224747893917e-8
break/#english-notfound/text,3.639174838511475e-7,3.5709497905271016e-7,3.713869934207553e-7,2.450688962783163e-8,2.009134966353964e-8,3.3036433014592235e-8
